timestamp,flow statistics(forward),flow statistics(reverse),maximum bandwidth
Tue Mar 29 17:18:04 CST 2016,3846074,0,2500
Tue Mar 29 17:18:14 CST 2016,3856658,0,2500
Tue Mar 29 17:18:24 CST 2016,3850761,0,3750
Tue Mar 29 17:18:35 CST 2016,3865276,0,3750
Tue Mar 29 17:18:45 CST 2016,3848493,0,5000
Tue Mar 29 17:18:55 CST 2016,3859531,0,5000
Tue Mar 29 17:19:05 CST 2016,3840328,0,2500
Tue Mar 29 17:19:15 CST 2016,3863311,0,2500
Tue Mar 29 17:19:25 CST 2016,3854844,0,3750
Tue Mar 29 17:19:36 CST 2016,3863008,0,3750
Tue Mar 29 17:19:46 CST 2016,3854692,0,5000
Tue Mar 29 17:19:56 CST 2016,3853634,0,5000
Tue Mar 29 17:20:06 CST 2016,3857414,0,2500
Tue Mar 29 17:20:16 CST 2016,4045960,0,2500
Tue Mar 29 17:20:26 CST 2016,3504128,0,3750
Tue Mar 29 17:20:36 CST 2016,3871929,0,3750
Tue Mar 29 17:20:46 CST 2016,3855448,0,5000
Tue Mar 29 17:20:56 CST 2016,3854995,0,5000
Tue Mar 29 17:21:06 CST 2016,3855902,0,2500
Tue Mar 29 17:21:17 CST 2016,3855448,0,2500
Tue Mar 29 17:21:27 CST 2016,3849249,0,3750
Tue Mar 29 17:21:37 CST 2016,3849249,0,3750
Tue Mar 29 17:21:47 CST 2016,3852894,0,5000
Tue Mar 29 17:21:57 CST 2016,3856356,0,5000
Tue Mar 29 17:22:07 CST 2016,3851971,0,2500
Tue Mar 29 17:22:17 CST 2016,4047624,0,2500
Tue Mar 29 17:22:28 CST 2016,3857263,0,3750
Tue Mar 29 17:22:38 CST 2016,3854239,0,3750
